 iteration        1/      15 | consumed samples:           12 | elapsed time per iteration (ms): 25241.1 | learning rate: 0.000E+00 | global batch size:    12 | loss scale: 4294967296.0 | number of skipped iterations:   1 | number of nan iterations:   0 |
 iteration        2/      15 | consumed samples:           24 | elapsed time per iteration (ms): 1857.1 | learning rate: 0.000E+00 | global batch size:    12 | loss scale: 2147483648.0 | number of skipped iterations:   1 | number of nan iterations:   0 |
 iteration        3/      15 | consumed samples:           36 | elapsed time per iteration (ms): 1325.1 | learning rate: 0.000E+00 | global batch size:    12 | loss scale: 1073741824.0 | number of skipped iterations:   1 | number of nan iterations:   0 |
 iteration        4/      15 | consumed samples:           48 | elapsed time per iteration (ms): 1326.4 | learning rate: 0.000E+00 | global batch size:    12 | loss scale: 536870912.0 | number of skipped iterations:   1 | number of nan iterations:   0 |
 iteration        5/      15 | consumed samples:           60 | elapsed time per iteration (ms): 1427.3 | learning rate: 0.000E+00 | global batch size:    12 | loss scale: 268435456.0 | number of skipped iterations:   1 | number of nan iterations:   0 |
 iteration        6/      15 | consumed samples:           72 | elapsed time per iteration (ms): 1428.0 | learning rate: 0.000E+00 | global batch size:    12 | loss scale: 134217728.0 | number of skipped iterations:   1 | number of nan iterations:   0 |
 iteration        7/      15 | consumed samples:           84 | elapsed time per iteration (ms): 1431.8 | learning rate: 0.000E+00 | global batch size:    12 | loss scale: 67108864.0 | number of skipped iterations:   1 | number of nan iterations:   0 |
 iteration        8/      15 | consumed samples:           96 | elapsed time per iteration (ms): 1778.4 | learning rate: 0.000E+00 | global batch size:    12 | loss scale: 33554432.0 | number of skipped iterations:   1 | number of nan iterations:   0 |
 iteration        9/      15 | consumed samples:          108 | elapsed time per iteration (ms): 1671.9 | learning rate: 0.000E+00 | global batch size:    12 | loss scale: 16777216.0 | number of skipped iterations:   1 | number of nan iterations:   0 |
 iteration       10/      15 | consumed samples:          120 | elapsed time per iteration (ms): 1690.7 | learning rate: 0.000E+00 | global batch size:    12 | loss scale: 8388608.0 | number of skipped iterations:   1 | number of nan iterations:   0 |
 iteration       11/      15 | consumed samples:          132 | elapsed time per iteration (ms): 2162.6 | learning rate: 0.000E+00 | global batch size:    12 | loss scale: 4194304.0 | number of skipped iterations:   1 | number of nan iterations:   0 |
 iteration       12/      15 | consumed samples:          144 | elapsed time per iteration (ms): 2348.3 | learning rate: 0.000E+00 | global batch size:    12 | loss scale: 2097152.0 | number of skipped iterations:   1 | number of nan iterations:   0 |
 iteration       13/      15 | consumed samples:          156 | elapsed time per iteration (ms): 2363.3 | learning rate: 0.000E+00 | global batch size:    12 | loss scale: 1048576.0 | number of skipped iterations:   1 | number of nan iterations:   0 |
 iteration       14/      15 | consumed samples:          168 | elapsed time per iteration (ms): 2356.2 | learning rate: 0.000E+00 | global batch size:    12 | loss scale: 524288.0 | number of skipped iterations:   1 | number of nan iterations:   0 |
 iteration       15/      15 | consumed samples:          180 | elapsed time per iteration (ms): 2360.8 | learning rate: 0.000E+00 | global batch size:    12 | loss scale: 262144.0 | number of skipped iterations:   1 | number of nan iterations:   0 |
