 iteration        1/      15 | consumed samples:           12 | elapsed time per iteration (ms): 14649.5 | learning rate: 0.000E+00 | global batch size:    12 | loss scale: 4294967296.0 | number of skipped iterations:   1 | number of nan iterations:   0 |
 iteration        2/      15 | consumed samples:           24 | elapsed time per iteration (ms): 1852.3 | learning rate: 0.000E+00 | global batch size:    12 | loss scale: 2147483648.0 | number of skipped iterations:   1 | number of nan iterations:   0 |
 iteration        3/      15 | consumed samples:           36 | elapsed time per iteration (ms): 1313.1 | learning rate: 0.000E+00 | global batch size:    12 | loss scale: 1073741824.0 | number of skipped iterations:   1 | number of nan iterations:   0 |
 iteration        4/      15 | consumed samples:           48 | elapsed time per iteration (ms): 1319.6 | learning rate: 0.000E+00 | global batch size:    12 | loss scale: 536870912.0 | number of skipped iterations:   1 | number of nan iterations:   0 |
 iteration        5/      15 | consumed samples:           60 | elapsed time per iteration (ms): 1416.3 | learning rate: 0.000E+00 | global batch size:    12 | loss scale: 268435456.0 | number of skipped iterations:   1 | number of nan iterations:   0 |
 iteration        6/      15 | consumed samples:           72 | elapsed time per iteration (ms): 1419.0 | learning rate: 0.000E+00 | global batch size:    12 | loss scale: 134217728.0 | number of skipped iterations:   1 | number of nan iterations:   0 |
 iteration        7/      15 | consumed samples:           84 | elapsed time per iteration (ms): 1420.3 | learning rate: 0.000E+00 | global batch size:    12 | loss scale: 67108864.0 | number of skipped iterations:   1 | number of nan iterations:   0 |
 iteration        8/      15 | consumed samples:           96 | elapsed time per iteration (ms): 1782.3 | learning rate: 0.000E+00 | global batch size:    12 | loss scale: 33554432.0 | number of skipped iterations:   1 | number of nan iterations:   0 |
 iteration        9/      15 | consumed samples:          108 | elapsed time per iteration (ms): 1808.3 | learning rate: 0.000E+00 | global batch size:    12 | loss scale: 16777216.0 | number of skipped iterations:   1 | number of nan iterations:   0 |
 iteration       10/      15 | consumed samples:          120 | elapsed time per iteration (ms): 1796.0 | learning rate: 0.000E+00 | global batch size:    12 | loss scale: 8388608.0 | number of skipped iterations:   1 | number of nan iterations:   0 |
 iteration       11/      15 | consumed samples:          132 | elapsed time per iteration (ms): 1817.7 | learning rate: 0.000E+00 | global batch size:    12 | loss scale: 4194304.0 | number of skipped iterations:   1 | number of nan iterations:   0 |
 iteration       12/      15 | consumed samples:          144 | elapsed time per iteration (ms): 1823.0 | learning rate: 0.000E+00 | global batch size:    12 | loss scale: 2097152.0 | number of skipped iterations:   1 | number of nan iterations:   0 |
 iteration       13/      15 | consumed samples:          156 | elapsed time per iteration (ms): 1797.4 | learning rate: 0.000E+00 | global batch size:    12 | loss scale: 1048576.0 | number of skipped iterations:   1 | number of nan iterations:   0 |
 iteration       14/      15 | consumed samples:          168 | elapsed time per iteration (ms): 1805.3 | learning rate: 0.000E+00 | global batch size:    12 | loss scale: 524288.0 | number of skipped iterations:   1 | number of nan iterations:   0 |
 iteration       15/      15 | consumed samples:          180 | elapsed time per iteration (ms): 1806.4 | learning rate: 0.000E+00 | global batch size:    12 | loss scale: 262144.0 | number of skipped iterations:   1 | number of nan iterations:   0 |
