 iteration        1/      15 | consumed samples:           24 | elapsed time per iteration (ms): 18154.6 | learning rate: 0.000E+00 | global batch size:    24 | loss scale: 4294967296.0 | number of skipped iterations:   1 | number of nan iterations:   0 |
 iteration        2/      15 | consumed samples:           48 | elapsed time per iteration (ms): 4856.9 | learning rate: 0.000E+00 | global batch size:    24 | loss scale: 2147483648.0 | number of skipped iterations:   1 | number of nan iterations:   0 |
 iteration        3/      15 | consumed samples:           72 | elapsed time per iteration (ms): 449.2 | learning rate: 0.000E+00 | global batch size:    24 | loss scale: 1073741824.0 | number of skipped iterations:   1 | number of nan iterations:   0 |
 iteration        4/      15 | consumed samples:           96 | elapsed time per iteration (ms): 448.1 | learning rate: 0.000E+00 | global batch size:    24 | loss scale: 536870912.0 | number of skipped iterations:   1 | number of nan iterations:   0 |
 iteration        5/      15 | consumed samples:          120 | elapsed time per iteration (ms): 476.9 | learning rate: 0.000E+00 | global batch size:    24 | loss scale: 268435456.0 | number of skipped iterations:   1 | number of nan iterations:   0 |
 iteration        6/      15 | consumed samples:          144 | elapsed time per iteration (ms): 495.6 | learning rate: 0.000E+00 | global batch size:    24 | loss scale: 134217728.0 | number of skipped iterations:   1 | number of nan iterations:   0 |
 iteration        7/      15 | consumed samples:          168 | elapsed time per iteration (ms): 516.8 | learning rate: 0.000E+00 | global batch size:    24 | loss scale: 67108864.0 | number of skipped iterations:   1 | number of nan iterations:   0 |
 iteration        8/      15 | consumed samples:          192 | elapsed time per iteration (ms): 559.7 | learning rate: 0.000E+00 | global batch size:    24 | loss scale: 33554432.0 | number of skipped iterations:   1 | number of nan iterations:   0 |
 iteration        9/      15 | consumed samples:          216 | elapsed time per iteration (ms): 926.3 | learning rate: 0.000E+00 | global batch size:    24 | loss scale: 16777216.0 | number of skipped iterations:   1 | number of nan iterations:   0 |
 iteration       10/      15 | consumed samples:          240 | elapsed time per iteration (ms): 573.1 | learning rate: 0.000E+00 | global batch size:    24 | loss scale: 8388608.0 | number of skipped iterations:   1 | number of nan iterations:   0 |
 iteration       11/      15 | consumed samples:          264 | elapsed time per iteration (ms): 569.0 | learning rate: 0.000E+00 | global batch size:    24 | loss scale: 4194304.0 | number of skipped iterations:   1 | number of nan iterations:   0 |
 iteration       12/      15 | consumed samples:          288 | elapsed time per iteration (ms): 631.3 | learning rate: 0.000E+00 | global batch size:    24 | loss scale: 2097152.0 | number of skipped iterations:   1 | number of nan iterations:   0 |
 iteration       13/      15 | consumed samples:          312 | elapsed time per iteration (ms): 641.4 | learning rate: 0.000E+00 | global batch size:    24 | loss scale: 1048576.0 | number of skipped iterations:   1 | number of nan iterations:   0 |
 iteration       14/      15 | consumed samples:          336 | elapsed time per iteration (ms): 636.2 | learning rate: 0.000E+00 | global batch size:    24 | loss scale: 524288.0 | number of skipped iterations:   1 | number of nan iterations:   0 |
 iteration       15/      15 | consumed samples:          360 | elapsed time per iteration (ms): 564.5 | learning rate: 0.000E+00 | global batch size:    24 | loss scale: 262144.0 | number of skipped iterations:   1 | number of nan iterations:   0 |
