 iteration        1/      15 | consumed samples:           24 | elapsed time per iteration (ms): 32024.3 | learning rate: 0.000E+00 | global batch size:    24 | loss scale: 4294967296.0 | number of skipped iterations:   1 | number of nan iterations:   0 |
 iteration        2/      15 | consumed samples:           48 | elapsed time per iteration (ms): 1423.4 | learning rate: 0.000E+00 | global batch size:    24 | loss scale: 2147483648.0 | number of skipped iterations:   1 | number of nan iterations:   0 |
 iteration        3/      15 | consumed samples:           72 | elapsed time per iteration (ms): 1538.6 | learning rate: 0.000E+00 | global batch size:    24 | loss scale: 1073741824.0 | number of skipped iterations:   1 | number of nan iterations:   0 |
 iteration        4/      15 | consumed samples:           96 | elapsed time per iteration (ms): 1672.9 | learning rate: 0.000E+00 | global batch size:    24 | loss scale: 536870912.0 | number of skipped iterations:   1 | number of nan iterations:   0 |
 iteration        5/      15 | consumed samples:          120 | elapsed time per iteration (ms): 1669.7 | learning rate: 0.000E+00 | global batch size:    24 | loss scale: 268435456.0 | number of skipped iterations:   1 | number of nan iterations:   0 |
 iteration        6/      15 | consumed samples:          144 | elapsed time per iteration (ms): 1666.7 | learning rate: 0.000E+00 | global batch size:    24 | loss scale: 134217728.0 | number of skipped iterations:   1 | number of nan iterations:   0 |
 iteration        7/      15 | consumed samples:          168 | elapsed time per iteration (ms): 1670.0 | learning rate: 0.000E+00 | global batch size:    24 | loss scale: 67108864.0 | number of skipped iterations:   1 | number of nan iterations:   0 |
 iteration        8/      15 | consumed samples:          192 | elapsed time per iteration (ms): 1679.7 | learning rate: 0.000E+00 | global batch size:    24 | loss scale: 33554432.0 | number of skipped iterations:   1 | number of nan iterations:   0 |
 iteration        9/      15 | consumed samples:          216 | elapsed time per iteration (ms): 2448.5 | learning rate: 0.000E+00 | global batch size:    24 | loss scale: 16777216.0 | number of skipped iterations:   1 | number of nan iterations:   0 |
 iteration       10/      15 | consumed samples:          240 | elapsed time per iteration (ms): 2375.1 | learning rate: 0.000E+00 | global batch size:    24 | loss scale: 8388608.0 | number of skipped iterations:   1 | number of nan iterations:   0 |
 iteration       11/      15 | consumed samples:          264 | elapsed time per iteration (ms): 2373.8 | learning rate: 0.000E+00 | global batch size:    24 | loss scale: 4194304.0 | number of skipped iterations:   1 | number of nan iterations:   0 |
 iteration       12/      15 | consumed samples:          288 | elapsed time per iteration (ms): 2374.5 | learning rate: 0.000E+00 | global batch size:    24 | loss scale: 2097152.0 | number of skipped iterations:   1 | number of nan iterations:   0 |
 iteration       13/      15 | consumed samples:          312 | elapsed time per iteration (ms): 2381.5 | learning rate: 0.000E+00 | global batch size:    24 | loss scale: 1048576.0 | number of skipped iterations:   1 | number of nan iterations:   0 |
 iteration       14/      15 | consumed samples:          336 | elapsed time per iteration (ms): 2381.9 | learning rate: 0.000E+00 | global batch size:    24 | loss scale: 524288.0 | number of skipped iterations:   1 | number of nan iterations:   0 |
 iteration       15/      15 | consumed samples:          360 | elapsed time per iteration (ms): 2378.0 | learning rate: 0.000E+00 | global batch size:    24 | loss scale: 262144.0 | number of skipped iterations:   1 | number of nan iterations:   0 |
 iteration        1/      15 | consumed samples:           96 | elapsed time per iteration (ms): 44151.1 | learning rate: 0.000E+00 | global batch size:    96 | loss scale: 4294967296.0 | number of skipped iterations:   1 | number of nan iterations:   0 |
 iteration        2/      15 | consumed samples:          192 | elapsed time per iteration (ms): 942.6 | learning rate: 0.000E+00 | global batch size:    96 | loss scale: 2147483648.0 | number of skipped iterations:   1 | number of nan iterations:   0 |
 iteration        3/      15 | consumed samples:          288 | elapsed time per iteration (ms): 918.7 | learning rate: 0.000E+00 | global batch size:    96 | loss scale: 1073741824.0 | number of skipped iterations:   1 | number of nan iterations:   0 |
 iteration        4/      15 | consumed samples:          384 | elapsed time per iteration (ms): 1058.6 | learning rate: 0.000E+00 | global batch size:    96 | loss scale: 536870912.0 | number of skipped iterations:   1 | number of nan iterations:   0 |
 iteration        5/      15 | consumed samples:          480 | elapsed time per iteration (ms): 1084.2 | learning rate: 0.000E+00 | global batch size:    96 | loss scale: 268435456.0 | number of skipped iterations:   1 | number of nan iterations:   0 |
 iteration        6/      15 | consumed samples:          576 | elapsed time per iteration (ms): 1146.3 | learning rate: 0.000E+00 | global batch size:    96 | loss scale: 134217728.0 | number of skipped iterations:   1 | number of nan iterations:   0 |
 iteration        7/      15 | consumed samples:          672 | elapsed time per iteration (ms): 1252.2 | learning rate: 0.000E+00 | global batch size:    96 | loss scale: 67108864.0 | number of skipped iterations:   1 | number of nan iterations:   0 |
 iteration        8/      15 | consumed samples:          768 | elapsed time per iteration (ms): 1216.2 | learning rate: 0.000E+00 | global batch size:    96 | loss scale: 33554432.0 | number of skipped iterations:   1 | number of nan iterations:   0 |
 iteration        9/      15 | consumed samples:          864 | elapsed time per iteration (ms): 2494.1 | learning rate: 0.000E+00 | global batch size:    96 | loss scale: 16777216.0 | number of skipped iterations:   1 | number of nan iterations:   0 |
 iteration       10/      15 | consumed samples:          960 | elapsed time per iteration (ms): 2448.1 | learning rate: 0.000E+00 | global batch size:    96 | loss scale: 8388608.0 | number of skipped iterations:   1 | number of nan iterations:   0 |
 iteration       11/      15 | consumed samples:         1056 | elapsed time per iteration (ms): 2420.3 | learning rate: 0.000E+00 | global batch size:    96 | loss scale: 4194304.0 | number of skipped iterations:   1 | number of nan iterations:   0 |
 iteration       12/      15 | consumed samples:         1152 | elapsed time per iteration (ms): 2421.9 | learning rate: 0.000E+00 | global batch size:    96 | loss scale: 2097152.0 | number of skipped iterations:   1 | number of nan iterations:   0 |
 iteration       13/      15 | consumed samples:         1248 | elapsed time per iteration (ms): 2499.7 | learning rate: 0.000E+00 | global batch size:    96 | loss scale: 1048576.0 | number of skipped iterations:   1 | number of nan iterations:   0 |
 iteration       14/      15 | consumed samples:         1344 | elapsed time per iteration (ms): 2427.0 | learning rate: 0.000E+00 | global batch size:    96 | loss scale: 524288.0 | number of skipped iterations:   1 | number of nan iterations:   0 |
 iteration       15/      15 | consumed samples:         1440 | elapsed time per iteration (ms): 2451.8 | learning rate: 0.000E+00 | global batch size:    96 | loss scale: 262144.0 | number of skipped iterations:   1 | number of nan iterations:   0 |
